id,gender,masterCategory,productDisplayName,image
15970,Men,Apparel,Turtle Check Men Navy Blue Shirt,15970.jpg
39386,Men,Apparel,Peter England Men Party Blue Jeans,39386.jpg
59263,Women,Accessories,Titan Women Silver Watch,59263.jpg
21379,Men,Apparel,Manchester United Men Solid Black Track Pants,21379.jpg
53759,Men,Apparel,Puma Men Grey T-shirt,53759.jpg
1855,Men,Apparel,Inkfruit Mens Chain Reaction T-shirt,1855.jpg
30805,Men,Apparel,Fabindia Men Striped Green Shirt,30805.jpg
26960,Women,Apparel,Jealous 21 Women Purple Shirt,26960.jpg
29114,Men,Accessories,Puma Men Pack of 3 Socks,29114.jpg
30039,Men,Accessories,Skagen Men Black Watch,30039.jpg
9204,Men,Footwear,Puma Men Future Cat Remix SF Black Casual Shoes,9204.jpg
48123,Women,Accessories,Fossil Women Black Huarache Weave Belt,48123.jpg
18653,Men,Footwear,Fila Men Cush Flex Black Slippers,18653.jpg
47957,Women,Accessories,Murcia Women Blue Handbag,47957.jpg
46885,Boys,Footwear,Ben 10 Boys Navy Blue Slippers,46885.jpg
12369,Men,Apparel,Reid & Taylor Men Check Purple Shirts,12369.jpg
29928,Men,Accessories,Police Men Black Dial Watch PL12889JVSB,29928.jpg
42419,Girls,Apparel,Gini and Jony Girls Knit White Top,42419.jpg
51832,Women,Apparel,Bwitch Beige Full-Coverage Bra BW335,51832.jpg
47359,Women,Accessories,Baggit Women Brown Handbag,47359.jpg
17429,Men,Accessories,CASIO G-Shock Men Black Digital Watch G-7710-1DR G223,17429.jpg
12967,Men,Footwear,ADIDAS Men Spry M Black Sandals,12967.jpg
6842,Unisex,Accessories,Timberland Unisex Rubber Sole Brush Shoe Accessories,6842.jpg
13089,Men,Apparel,ADIDAS Men Lfc Auth Hood Grey Sweatshirts,13089.jpg
18461,Men,Personal Care,David Beckham Signature Men Deos,18461.jpg
9036,Men,Footwear,Buckaroo Men Flores Black Formal Shoes,9036.jpg
